#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EPF1	ERL1	3702.Q8S8I4	3702.C0LGW6	0	0	0	0	0.069	0.926	0.900	0.991	0.999
EPF1	MYB88	3702.Q8S8I4	3702.F4IRB4	0	0	0	0	0	0	0	0.785	0.785
EPF1	SBT1.2	3702.Q8S8I4	3702.O64495	0	0	0	0	0.098	0	0	0.926	0.930
EPF1	FAMA	3702.Q8S8I4	3702.Q56YJ8	0	0	0	0	0.107	0	0	0.926	0.931
EPF1	EPF2	3702.Q8S8I4	3702.Q8LC53	0	0	0	0.808	0.126	0	0.900	0.218	0.925
EPF1	RBR1	3702.Q8S8I4	3702.Q9LKZ3	0	0	0	0	0	0	0	0.483	0.483
EPF1	SCRM	3702.Q8S8I4	3702.Q9LSE2	0	0	0	0	0.063	0	0	0.824	0.828
EPF1	SCRM2	3702.Q8S8I4	3702.Q9LPW3	0	0	0	0	0.089	0	0	0.899	0.904
EPF1	EPFL9	3702.Q8S8I4	3702.Q9SV72	0	0	0	0	0.100	0	0	0.964	0.966
EPF2	ERL1	3702.Q8LC53	3702.C0LGW6	0	0	0	0	0.100	0.926	0.900	0.974	0.999
EPF2	MYB88	3702.Q8LC53	3702.F4IRB4	0	0	0	0	0	0	0	0.740	0.740
EPF2	SBT1.2	3702.Q8LC53	3702.O64495	0	0	0	0	0.216	0	0	0.898	0.916
EPF2	FAMA	3702.Q8LC53	3702.Q56YJ8	0	0	0	0	0.081	0	0	0.909	0.912
EPF2	RBR1	3702.Q8LC53	3702.Q9LKZ3	0	0	0	0	0	0	0	0.431	0.431
EPF2	SCRM	3702.Q8LC53	3702.Q9LSE2	0	0	0	0	0.071	0	0	0.802	0.808
EPF2	SCRM2	3702.Q8LC53	3702.Q9LPW3	0	0	0	0	0.107	0	0	0.899	0.905
EPF2	EPF1	3702.Q8LC53	3702.Q8S8I4	0	0	0	0.808	0.126	0	0.900	0.218	0.925
EPF2	EPFL9	3702.Q8LC53	3702.Q9SV72	0	0	0	0	0.089	0	0	0.972	0.973
EPFL9	ERL1	3702.Q9SV72	3702.C0LGW6	0	0	0	0	0.097	0	0	0.926	0.930
EPFL9	MYB88	3702.Q9SV72	3702.F4IRB4	0	0	0	0	0	0	0	0.720	0.720
EPFL9	SBT1.2	3702.Q9SV72	3702.O64495	0	0	0	0	0.098	0	0	0.900	0.905
EPFL9	FAMA	3702.Q9SV72	3702.Q56YJ8	0	0	0	0	0.103	0	0	0.899	0.905
EPFL9	EPF2	3702.Q9SV72	3702.Q8LC53	0	0	0	0	0.089	0	0	0.972	0.973
EPFL9	EPF1	3702.Q9SV72	3702.Q8S8I4	0	0	0	0	0.100	0	0	0.964	0.966
EPFL9	SCRM2	3702.Q9SV72	3702.Q9LPW3	0	0	0	0	0.144	0	0	0.880	0.892
EPFL9	SCRM	3702.Q9SV72	3702.Q9LSE2	0	0	0	0	0.075	0	0	0.795	0.802
ERL1	MYB88	3702.C0LGW6	3702.F4IRB4	0	0	0	0	0	0	0	0.758	0.758
ERL1	SCRM	3702.C0LGW6	3702.Q9LSE2	0	0	0	0	0.088	0	0	0.792	0.802
ERL1	SCRM2	3702.C0LGW6	3702.Q9LPW3	0	0	0	0	0.100	0	0	0.827	0.837
ERL1	FAMA	3702.C0LGW6	3702.Q56YJ8	0	0	0	0	0.073	0	0	0.893	0.896
ERL1	SBT1.2	3702.C0LGW6	3702.O64495	0	0	0	0	0.105	0	0	0.892	0.899
