#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATG6	UBP14	3702.Q9M367	3702.Q8L6Y1	0	0	0	0	0	0	0.936	0.220	0.947
ATG6	UBP24	3702.Q9M367	3702.Q9FPS3	0	0	0	0	0	0.054	0.597	0.242	0.685
RPL40A	RPL40B	3702.B9DHA6	3702.Q42202	0	0	0.048	0.985	0.443	0	0	0.054	0.454
RPL40A	UBP24	3702.B9DHA6	3702.Q9FPS3	0	0	0	0	0	0.068	0.494	0.075	0.525
RPL40A	UBP13	3702.B9DHA6	3702.Q84WU2	0	0	0	0	0	0.824	0.592	0.045	0.925
RPL40A	UBP12	3702.B9DHA6	3702.Q9FPT1	0	0	0	0	0	0.824	0.592	0.045	0.925
RPL40A	UBP26	3702.B9DHA6	3702.Q9SCJ9	0	0	0	0	0	0.824	0.592	0.045	0.925
RPL40A	UBP14	3702.B9DHA6	3702.Q8L6Y1	0	0	0	0	0	0.888	0.756	0.097	0.973
RPL40A	RPS27AA	3702.B9DHA6	3702.P59271	0	0	0.058	0.951	0.764	0.833	0.596	0.258	0.986
RPL40A	RPS27AC	3702.B9DHA6	3702.P59233	0	0	0.058	0.951	0.773	0.833	0.596	0.248	0.987
RPL40A	RPS27AB	3702.B9DHA6	3702.P59232	0	0	0.058	0.951	0.822	0.833	0.596	0.266	0.990
RPL40B	RPL40A	3702.Q42202	3702.B9DHA6	0	0	0.048	0.985	0.443	0	0	0.054	0.454
RPL40B	RPS27AB	3702.Q42202	3702.P59232	0	0	0.058	0.951	0.847	0.833	0.596	0.268	0.991
RPL40B	RPS27AC	3702.Q42202	3702.P59233	0	0	0.058	0.951	0.799	0.833	0.596	0.245	0.988
RPL40B	RPS27AA	3702.Q42202	3702.P59271	0	0	0.058	0.951	0.770	0.833	0.596	0.256	0.987
RPL40B	UBP24	3702.Q42202	3702.Q9FPS3	0	0	0	0	0	0.068	0.494	0.382	0.683
RPL40B	UBP12	3702.Q42202	3702.Q9FPT1	0	0	0	0	0	0.824	0.592	0.099	0.929
RPL40B	UBP13	3702.Q42202	3702.Q84WU2	0	0	0	0	0	0.824	0.592	0.107	0.930
RPL40B	UBP26	3702.Q42202	3702.Q9SCJ9	0	0	0	0	0	0.824	0.592	0.348	0.949
RPL40B	UBP14	3702.Q42202	3702.Q8L6Y1	0	0	0	0	0	0.888	0.756	0.346	0.980
RPS27AA	RPL40A	3702.P59271	3702.B9DHA6	0	0	0.058	0.951	0.764	0.833	0.596	0.258	0.986
RPS27AA	RPS27AB	3702.P59271	3702.P59232	0	0	0.049	0.983	0.075	0	0.900	0.052	0.905
RPS27AA	RPS27AC	3702.P59271	3702.P59233	0	0	0.049	0.983	0.072	0	0.900	0.045	0.904
RPS27AA	UBP24	3702.P59271	3702.Q9FPS3	0	0	0	0	0	0.110	0.591	0.079	0.635
RPS27AA	UBP26	3702.P59271	3702.Q9SCJ9	0	0	0	0	0.047	0.747	0.550	0.067	0.885
RPS27AA	UBP13	3702.P59271	3702.Q84WU2	0	0	0	0	0.047	0.747	0.550	0.067	0.885
RPS27AA	UBP12	3702.P59271	3702.Q9FPT1	0	0	0	0	0.047	0.747	0.550	0.067	0.885
RPS27AA	UBP14	3702.P59271	3702.Q8L6Y1	0	0	0	0	0	0.858	0.674	0.125	0.955
RPS27AA	RPL40B	3702.P59271	3702.Q42202	0	0	0.058	0.951	0.770	0.833	0.596	0.256	0.987
RPS27AB	RPL40A	3702.P59232	3702.B9DHA6	0	0	0.058	0.951	0.822	0.833	0.596	0.266	0.990
RPS27AB	UBP24	3702.P59232	3702.Q9FPS3	0	0	0	0	0.044	0.110	0.591	0.079	0.636
RPS27AB	UBP26	3702.P59232	3702.Q9SCJ9	0	0	0	0	0.047	0.747	0.550	0.067	0.885
RPS27AB	UBP13	3702.P59232	3702.Q84WU2	0	0	0	0	0.047	0.747	0.550	0.067	0.885
RPS27AB	UBP12	3702.P59232	3702.Q9FPT1	0	0	0	0	0.047	0.747	0.550	0.067	0.885
RPS27AB	RPS27AA	3702.P59232	3702.P59271	0	0	0.049	0.983	0.075	0	0.900	0.052	0.905
RPS27AB	RPS27AC	3702.P59232	3702.P59233	0	0	0.048	0.985	0.411	0	0.900	0.048	0.939
RPS27AB	UBP14	3702.P59232	3702.Q8L6Y1	0	0	0	0	0	0.858	0.674	0.125	0.955
RPS27AB	RPL40B	3702.P59232	3702.Q42202	0	0	0.058	0.951	0.847	0.833	0.596	0.268	0.991
RPS27AC	RPL40A	3702.P59233	3702.B9DHA6	0	0	0.058	0.951	0.773	0.833	0.596	0.248	0.987
RPS27AC	RPS27AB	3702.P59233	3702.P59232	0	0	0.048	0.985	0.411	0	0.900	0.048	0.939
RPS27AC	UBP24	3702.P59233	3702.Q9FPS3	0	0	0	0	0	0.110	0.591	0.079	0.635
RPS27AC	UBP26	3702.P59233	3702.Q9SCJ9	0	0	0	0	0.047	0.747	0.550	0.067	0.885
RPS27AC	UBP12	3702.P59233	3702.Q9FPT1	0	0	0	0	0.047	0.747	0.550	0.067	0.885
RPS27AC	UBP13	3702.P59233	3702.Q84WU2	0	0	0	0	0.047	0.747	0.550	0.067	0.885
RPS27AC	RPS27AA	3702.P59233	3702.P59271	0	0	0.049	0.983	0.072	0	0.900	0.045	0.904
RPS27AC	UBP14	3702.P59233	3702.Q8L6Y1	0	0	0	0	0	0.858	0.674	0.125	0.955
RPS27AC	RPL40B	3702.P59233	3702.Q42202	0	0	0.058	0.951	0.799	0.833	0.596	0.245	0.988
UBP12	RPL40A	3702.Q9FPT1	3702.B9DHA6	0	0	0	0	0	0.824	0.592	0.045	0.925
UBP12	RPS27AB	3702.Q9FPT1	3702.P59232	0	0	0	0	0.047	0.747	0.550	0.067	0.885
UBP12	RPS27AC	3702.Q9FPT1	3702.P59233	0	0	0	0	0.047	0.747	0.550	0.067	0.885
UBP12	RPS27AA	3702.Q9FPT1	3702.P59271	0	0	0	0	0.047	0.747	0.550	0.067	0.885
UBP12	RPL40B	3702.Q9FPT1	3702.Q42202	0	0	0	0	0	0.824	0.592	0.099	0.929
UBP12	UBP13	3702.Q9FPT1	3702.Q84WU2	0	0	0.048	0.985	0.266	0	0	0.282	0.454
UBP12	UBP14	3702.Q9FPT1	3702.Q8L6Y1	0	0	0	0	0.106	0.765	0	0.876	0.971
UBP12	UBP24	3702.Q9FPT1	3702.Q9FPS3	0	0	0	0.556	0.076	0.079	0	0.590	0.620
UBP12	UBP26	3702.Q9FPT1	3702.Q9SCJ9	0	0	0	0.563	0.139	0	0	0.355	0.420
UBP13	RPL40A	3702.Q84WU2	3702.B9DHA6	0	0	0	0	0	0.824	0.592	0.045	0.925
UBP13	RPS27AB	3702.Q84WU2	3702.P59232	0	0	0	0	0.047	0.747	0.550	0.067	0.885
UBP13	RPS27AC	3702.Q84WU2	3702.P59233	0	0	0	0	0.047	0.747	0.550	0.067	0.885
UBP13	RPS27AA	3702.Q84WU2	3702.P59271	0	0	0	0	0.047	0.747	0.550	0.067	0.885
UBP13	RPL40B	3702.Q84WU2	3702.Q42202	0	0	0	0	0	0.824	0.592	0.107	0.930
UBP13	UBP12	3702.Q84WU2	3702.Q9FPT1	0	0	0.048	0.985	0.266	0	0	0.282	0.454
UBP13	UBP24	3702.Q84WU2	3702.Q9FPS3	0	0	0	0	0.060	0.079	0	0.867	0.875
UBP13	UBP14	3702.Q84WU2	3702.Q8L6Y1	0	0	0	0	0.107	0.765	0	0.875	0.971
UBP14	RPL40A	3702.Q8L6Y1	3702.B9DHA6	0	0	0	0	0	0.888	0.756	0.097	0.973
UBP14	RPS27AB	3702.Q8L6Y1	3702.P59232	0	0	0	0	0	0.858	0.674	0.125	0.955
UBP14	RPS27AC	3702.Q8L6Y1	3702.P59233	0	0	0	0	0	0.858	0.674	0.125	0.955
UBP14	RPS27AA	3702.Q8L6Y1	3702.P59271	0	0	0	0	0	0.858	0.674	0.125	0.955
UBP14	RPL40B	3702.Q8L6Y1	3702.Q42202	0	0	0	0	0	0.888	0.756	0.346	0.980
UBP14	UBP13	3702.Q8L6Y1	3702.Q84WU2	0	0	0	0	0.107	0.765	0	0.875	0.971
UBP14	UBP26	3702.Q8L6Y1	3702.Q9SCJ9	0	0	0	0	0.096	0.765	0	0.744	0.940
UBP14	UBP24	3702.Q8L6Y1	3702.Q9FPS3	0	0	0	0	0	0	0.845	0.649	0.943
UBP14	ATG6	3702.Q8L6Y1	3702.Q9M367	0	0	0	0	0	0	0.936	0.220	0.947
UBP14	UBP12	3702.Q8L6Y1	3702.Q9FPT1	0	0	0	0	0.106	0.765	0	0.876	0.971
UBP24	RPL40A	3702.Q9FPS3	3702.B9DHA6	0	0	0	0	0	0.068	0.494	0.075	0.525
UBP24	RPS27AB	3702.Q9FPS3	3702.P59232	0	0	0	0	0.044	0.110	0.591	0.079	0.636
UBP24	RPS27AC	3702.Q9FPS3	3702.P59233	0	0	0	0	0	0.110	0.591	0.079	0.635
UBP24	RPS27AA	3702.Q9FPS3	3702.P59271	0	0	0	0	0	0.110	0.591	0.079	0.635
UBP24	RPL40B	3702.Q9FPS3	3702.Q42202	0	0	0	0	0	0.068	0.494	0.382	0.683
UBP24	UBP13	3702.Q9FPS3	3702.Q84WU2	0	0	0	0	0.060	0.079	0	0.867	0.875
UBP24	UBP14	3702.Q9FPS3	3702.Q8L6Y1	0	0	0	0	0	0	0.845	0.649	0.943
UBP24	UBP26	3702.Q9FPS3	3702.Q9SCJ9	0	0	0	0.565	0	0.079	0	0.534	0.553
UBP24	UBP12	3702.Q9FPS3	3702.Q9FPT1	0	0	0	0.556	0.076	0.079	0	0.590	0.620
UBP24	ATG6	3702.Q9FPS3	3702.Q9M367	0	0	0	0	0	0.054	0.597	0.242	0.685
UBP26	RPL40A	3702.Q9SCJ9	3702.B9DHA6	0	0	0	0	0	0.824	0.592	0.045	0.925
UBP26	RPS27AB	3702.Q9SCJ9	3702.P59232	0	0	0	0	0.047	0.747	0.550	0.067	0.885
UBP26	RPS27AC	3702.Q9SCJ9	3702.P59233	0	0	0	0	0.047	0.747	0.550	0.067	0.885
UBP26	RPS27AA	3702.Q9SCJ9	3702.P59271	0	0	0	0	0.047	0.747	0.550	0.067	0.885
UBP26	RPL40B	3702.Q9SCJ9	3702.Q42202	0	0	0	0	0	0.824	0.592	0.348	0.949
UBP26	UBP14	3702.Q9SCJ9	3702.Q8L6Y1	0	0	0	0	0.096	0.765	0	0.744	0.940
UBP26	UBP24	3702.Q9SCJ9	3702.Q9FPS3	0	0	0	0.565	0	0.079	0	0.534	0.553
UBP26	UBP12	3702.Q9SCJ9	3702.Q9FPT1	0	0	0	0.563	0.139	0	0	0.355	0.420
