#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CUL1	SKP2B	3702.Q94AH6	3702.O49286	0	0	0	0	0	0.425	0.186	0.235	0.611
CUL1	SKP1A	3702.Q94AH6	3702.Q39255	0	0	0	0	0	0.927	0.282	0.999	0.999
CUL1	SKIP24	3702.Q94AH6	3702.Q9CAZ0	0	0	0	0	0	0	0	0.638	0.638
CUL1	SKP2A	3702.Q94AH6	3702.Q9LPL4	0	0	0	0	0	0.425	0.186	0.553	0.773
FIP1-2	SKP2B	3702.Q9SE96	3702.O49286	0	0	0	0	0.057	0	0	0.719	0.723
GATA23	SKP2B	3702.Q8LC59	3702.O49286	0	0	0	0	0	0	0	0.599	0.599
GATA23	IAA14	3702.Q8LC59	3702.Q38832	0	0	0	0	0	0	0	0.796	0.796
IAA14	SKP2B	3702.Q38832	3702.O49286	0	0	0	0	0	0	0	0.717	0.717
IAA14	GATA23	3702.Q38832	3702.Q8LC59	0	0	0	0	0	0	0	0.796	0.796
IAA14	SKP1A	3702.Q38832	3702.Q39255	0	0	0	0	0	0.800	0	0.491	0.893
KRP7	SKP2B	3702.Q94CL9	3702.O49286	0	0	0	0	0	0	0	0.784	0.784
KRP7	SKP2A	3702.Q94CL9	3702.Q9LPL4	0	0	0	0	0	0	0	0.550	0.550
SAUR7	SKP2B	3702.Q9SKP3	3702.O49286	0	0	0	0	0	0	0	0.600	0.600
SKIP24	SKP2B	3702.Q9CAZ0	3702.O49286	0	0	0	0	0	0	0	0.654	0.654
SKIP24	SKP1A	3702.Q9CAZ0	3702.Q39255	0	0	0	0	0	0.230	0	0.718	0.773
SKIP24	CUL1	3702.Q9CAZ0	3702.Q94AH6	0	0	0	0	0	0	0	0.638	0.638
SKP1A	SKP2B	3702.Q39255	3702.O49286	0	0	0	0	0	0.353	0.151	0.314	0.590
SKP1A	IAA14	3702.Q39255	3702.Q38832	0	0	0	0	0	0.800	0	0.491	0.893
SKP1A	SKP2A	3702.Q39255	3702.Q9LPL4	0	0	0	0	0	0.558	0.151	0.403	0.756
SKP1A	SKIP24	3702.Q39255	3702.Q9CAZ0	0	0	0	0	0	0.230	0	0.718	0.773
SKP1A	CUL1	3702.Q39255	3702.Q94AH6	0	0	0	0	0	0.927	0.282	0.999	0.999
SKP2A	SKP2B	3702.Q9LPL4	3702.O49286	0	0	0.050	0.981	0.150	0	0.900	0.055	0.913
SKP2A	SKP1A	3702.Q9LPL4	3702.Q39255	0	0	0	0	0	0.558	0.151	0.403	0.756
SKP2A	CUL1	3702.Q9LPL4	3702.Q94AH6	0	0	0	0	0	0.425	0.186	0.553	0.773
SKP2A	KRP7	3702.Q9LPL4	3702.Q94CL9	0	0	0	0	0	0	0	0.550	0.550
SKP2B	UPB1	3702.O49286	3702.O22901	0	0	0	0	0	0	0	0.757	0.757
SKP2B	SKP1A	3702.O49286	3702.Q39255	0	0	0	0	0	0.353	0.151	0.314	0.590
SKP2B	GATA23	3702.O49286	3702.Q8LC59	0	0	0	0	0	0	0	0.599	0.599
SKP2B	SAUR7	3702.O49286	3702.Q9SKP3	0	0	0	0	0	0	0	0.600	0.600
SKP2B	CUL1	3702.O49286	3702.Q94AH6	0	0	0	0	0	0.425	0.186	0.235	0.611
SKP2B	SKIP24	3702.O49286	3702.Q9CAZ0	0	0	0	0	0	0	0	0.654	0.654
SKP2B	IAA14	3702.O49286	3702.Q38832	0	0	0	0	0	0	0	0.717	0.717
SKP2B	FIP1-2	3702.O49286	3702.Q9SE96	0	0	0	0	0.057	0	0	0.719	0.723
SKP2B	KRP7	3702.O49286	3702.Q94CL9	0	0	0	0	0	0	0	0.784	0.784
SKP2B	SKP2A	3702.O49286	3702.Q9LPL4	0	0	0.050	0.981	0.150	0	0.900	0.055	0.913
UPB1	SKP2B	3702.O22901	3702.O49286	0	0	0	0	0	0	0	0.757	0.757
