#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDKA-1	CDKB2-1	3702.P24100	3702.Q8LF80	0	0	0.063	0.954	0	0.450	0	0.082	0.485
CDKA-1	SIM	3702.P24100	3702.Q9LZ78	0	0	0	0	0	0.322	0	0.306	0.509
CDKA-1	KRP1-2	3702.P24100	3702.Q67Y93	0	0	0	0	0	0.837	0	0.876	0.978
CDKA-1	RBR1	3702.P24100	3702.Q9LKZ3	0	0	0	0	0.064	0.619	0.551	0.950	0.991
CDKA-1	CYCD2-1	3702.P24100	3702.P42752	0	0	0	0	0.094	0.839	0.303	0.952	0.994
CDKA-1	CYCD3-1	3702.P24100	3702.P42753	0	0	0	0	0.094	0.878	0.303	0.979	0.998
CDKB1-1	CDKB2-1	3702.P25859	3702.Q8LF80	0	0	0.057	0.967	0.413	0.230	0	0.065	0.548
CDKB1-1	SIM	3702.P25859	3702.Q9LZ78	0	0	0	0	0	0.497	0	0.198	0.579
CDKB1-1	CDKB2-2	3702.P25859	3702.Q8LG64	0	0	0.057	0.967	0.484	0.230	0	0.062	0.601
CDKB1-1	KRP1-2	3702.P25859	3702.Q67Y93	0	0	0	0	0	0	0	0.821	0.821
CDKB1-1	CYCD2-1	3702.P25859	3702.P42752	0	0	0	0	0.094	0.429	0.303	0.860	0.942
CDKB1-1	CYCD3-1	3702.P25859	3702.P42753	0	0	0	0	0.147	0.289	0.303	0.923	0.963
CDKB1-1	RBR1	3702.P25859	3702.Q9LKZ3	0	0	0	0	0.064	0.607	0.551	0.939	0.988
CDKB1-2	CYCD2-1	3702.Q2V419	3702.P42752	0	0	0	0	0.094	0.289	0.303	0.809	0.903
CDKB1-2	CYCD3-1	3702.Q2V419	3702.P42753	0	0	0	0	0.139	0.289	0.303	0.867	0.935
CDKB1-2	CDKB2-2	3702.Q2V419	3702.Q8LG64	0	0	0.057	0.966	0.442	0	0	0.063	0.464
CDKB1-2	CDKB2-1	3702.Q2V419	3702.Q8LF80	0	0	0.058	0.965	0.523	0.230	0	0.063	0.632
