#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BASL	SBT1.2	3702.Q5BPF3	3702.O64495	0	0	0	0	0.141	0	0	0.739	0.766
BASL	MPK3	3702.Q5BPF3	3702.Q39023	0	0	0	0	0	0	0	0.794	0.794
BASL	MPK6	3702.Q5BPF3	3702.Q39026	0	0	0	0	0	0	0	0.760	0.760
BASL	SCRM	3702.Q5BPF3	3702.Q9LSE2	0	0	0	0	0.072	0	0	0.784	0.790
BASL	SCRM2	3702.Q5BPF3	3702.Q9LPW3	0	0	0	0	0.098	0	0	0.793	0.805
BASL	EPFL9	3702.Q5BPF3	3702.Q9SV72	0	0	0	0	0.090	0	0	0.820	0.829
BASL	EPF1	3702.Q5BPF3	3702.Q8S8I4	0	0	0	0	0.140	0	0	0.899	0.909
BASL	EPF2	3702.Q5BPF3	3702.Q8LC53	0	0	0	0	0.307	0	0	0.899	0.927
BASL	YDA	3702.Q5BPF3	3702.Q9CAD5	0	0	0	0	0	0	0	0.935	0.935
BASL	SPCH	3702.Q5BPF3	3702.Q700C7	0	0	0	0	0.401	0	0	0.929	0.955
EPF1	SBT1.2	3702.Q8S8I4	3702.O64495	0	0	0	0	0.098	0	0	0.926	0.930
EPF1	MPK3	3702.Q8S8I4	3702.Q39023	0	0	0	0	0	0	0	0.792	0.792
EPF1	MPK6	3702.Q8S8I4	3702.Q39026	0	0	0	0	0	0	0	0.719	0.719
EPF1	BASL	3702.Q8S8I4	3702.Q5BPF3	0	0	0	0	0.140	0	0	0.899	0.909
EPF1	SPCH	3702.Q8S8I4	3702.Q700C7	0	0	0	0	0.141	0	0	0.928	0.935
EPF1	EPF2	3702.Q8S8I4	3702.Q8LC53	0	0	0	0.808	0.126	0	0.900	0.218	0.925
EPF1	SCRM	3702.Q8S8I4	3702.Q9LSE2	0	0	0	0	0.063	0	0	0.824	0.828
EPF1	YDA	3702.Q8S8I4	3702.Q9CAD5	0	0	0	0	0	0	0	0.892	0.892
EPF1	SCRM2	3702.Q8S8I4	3702.Q9LPW3	0	0	0	0	0.089	0	0	0.899	0.904
EPF1	EPFL9	3702.Q8S8I4	3702.Q9SV72	0	0	0	0	0.100	0	0	0.964	0.966
EPF2	SBT1.2	3702.Q8LC53	3702.O64495	0	0	0	0	0.216	0	0	0.898	0.916
EPF2	MPK3	3702.Q8LC53	3702.Q39023	0	0	0	0	0	0	0	0.784	0.784
EPF2	MPK6	3702.Q8LC53	3702.Q39026	0	0	0	0	0	0	0	0.660	0.660
EPF2	BASL	3702.Q8LC53	3702.Q5BPF3	0	0	0	0	0.307	0	0	0.899	0.927
EPF2	SPCH	3702.Q8LC53	3702.Q700C7	0	0	0	0	0.430	0	0	0.926	0.956
EPF2	SCRM	3702.Q8LC53	3702.Q9LSE2	0	0	0	0	0.071	0	0	0.802	0.808
EPF2	YDA	3702.Q8LC53	3702.Q9CAD5	0	0	0	0	0	0	0	0.822	0.822
EPF2	SCRM2	3702.Q8LC53	3702.Q9LPW3	0	0	0	0	0.107	0	0	0.899	0.905
EPF2	EPF1	3702.Q8LC53	3702.Q8S8I4	0	0	0	0.808	0.126	0	0.900	0.218	0.925
EPF2	EPFL9	3702.Q8LC53	3702.Q9SV72	0	0	0	0	0.089	0	0	0.972	0.973
EPFL9	SBT1.2	3702.Q9SV72	3702.O64495	0	0	0	0	0.098	0	0	0.900	0.905
EPFL9	MPK3	3702.Q9SV72	3702.Q39023	0	0	0	0	0	0	0	0.738	0.738
EPFL9	MPK6	3702.Q9SV72	3702.Q39026	0	0	0	0	0	0	0	0.549	0.549
EPFL9	BASL	3702.Q9SV72	3702.Q5BPF3	0	0	0	0	0.090	0	0	0.820	0.829
EPFL9	SPCH	3702.Q9SV72	3702.Q700C7	0	0	0	0	0.098	0	0	0.926	0.930
EPFL9	EPF2	3702.Q9SV72	3702.Q8LC53	0	0	0	0	0.089	0	0	0.972	0.973
EPFL9	EPF1	3702.Q9SV72	3702.Q8S8I4	0	0	0	0	0.100	0	0	0.964	0.966
EPFL9	YDA	3702.Q9SV72	3702.Q9CAD5	0	0	0	0	0	0	0	0.794	0.794
EPFL9	SCRM2	3702.Q9SV72	3702.Q9LPW3	0	0	0	0	0.144	0	0	0.880	0.892
EPFL9	SCRM	3702.Q9SV72	3702.Q9LSE2	0	0	0	0	0.075	0	0	0.795	0.802
MPK3	SBT1.2	3702.Q39023	3702.O64495	0	0	0	0	0.048	0	0	0.599	0.601
MPK3	YDA	3702.Q39023	3702.Q9CAD5	0	0	0.138	0.665	0	0.184	0	0.339	0.494
MPK3	EPFL9	3702.Q39023	3702.Q9SV72	0	0	0	0	0	0	0	0.738	0.738
MPK3	EPF2	3702.Q39023	3702.Q8LC53	0	0	0	0	0	0	0	0.784	0.784
MPK3	EPF1	3702.Q39023	3702.Q8S8I4	0	0	0	0	0	0	0	0.792	0.792
MPK3	BASL	3702.Q39023	3702.Q5BPF3	0	0	0	0	0	0	0	0.794	0.794
MPK3	SCRM2	3702.Q39023	3702.Q9LPW3	0	0	0	0	0	0.243	0	0.740	0.794
MPK3	SCRM	3702.Q39023	3702.Q9LSE2	0	0	0	0	0	0	0	0.894	0.894
MPK3	MPK6	3702.Q39023	3702.Q39026	0	0	0.052	0.976	0	0	0.900	0.566	0.955
MPK3	SPCH	3702.Q39023	3702.Q700C7	0	0	0	0	0	0	0.900	0.796	0.978
MPK6	SBT1.2	3702.Q39026	3702.O64495	0	0	0	0	0.048	0	0	0.402	0.406
MPK6	MPK3	3702.Q39026	3702.Q39023	0	0	0.052	0.976	0	0	0.900	0.566	0.955
MPK6	YDA	3702.Q39026	3702.Q9CAD5	0	0	0.157	0.647	0	0.184	0	0.350	0.514
MPK6	EPFL9	3702.Q39026	3702.Q9SV72	0	0	0	0	0	0	0	0.549	0.549
MPK6	SCRM2	3702.Q39026	3702.Q9LPW3	0	0	0	0	0	0.292	0	0.431	0.579
MPK6	EPF2	3702.Q39026	3702.Q8LC53	0	0	0	0	0	0	0	0.660	0.660
MPK6	EPF1	3702.Q39026	3702.Q8S8I4	0	0	0	0	0	0	0	0.719	0.719
MPK6	BASL	3702.Q39026	3702.Q5BPF3	0	0	0	0	0	0	0	0.760	0.760
MPK6	SCRM	3702.Q39026	3702.Q9LSE2	0	0	0	0	0	0.143	0	0.885	0.897
MPK6	SPCH	3702.Q39026	3702.Q700C7	0	0	0	0	0	0	0.900	0.785	0.977
SBT1.2	MPK6	3702.O64495	3702.Q39026	0	0	0	0	0.048	0	0	0.402	0.406
SBT1.2	MPK3	3702.O64495	3702.Q39023	0	0	0	0	0.048	0	0	0.599	0.601
SBT1.2	SCRM	3702.O64495	3702.Q9LSE2	0	0	0	0	0.069	0	0	0.695	0.703
SBT1.2	BASL	3702.O64495	3702.Q5BPF3	0	0	0	0	0.141	0	0	0.739	0.766
SBT1.2	SCRM2	3702.O64495	3702.Q9LPW3	0	0	0	0	0.106	0	0	0.785	0.799
SBT1.2	YDA	3702.O64495	3702.Q9CAD5	0	0	0	0	0	0	0	0.825	0.825
SBT1.2	EPFL9	3702.O64495	3702.Q9SV72	0	0	0	0	0.098	0	0	0.900	0.905
SBT1.2	SPCH	3702.O64495	3702.Q700C7	0	0	0	0	0.211	0	0	0.892	0.911
SBT1.2	EPF2	3702.O64495	3702.Q8LC53	0	0	0	0	0.216	0	0	0.898	0.916
SBT1.2	EPF1	3702.O64495	3702.Q8S8I4	0	0	0	0	0.098	0	0	0.926	0.930
SCRM	SBT1.2	3702.Q9LSE2	3702.O64495	0	0	0	0	0.069	0	0	0.695	0.703
SCRM	MPK3	3702.Q9LSE2	3702.Q39023	0	0	0	0	0	0	0	0.894	0.894
SCRM	MPK6	3702.Q9LSE2	3702.Q39026	0	0	0	0	0	0.143	0	0.885	0.897
SCRM	BASL	3702.Q9LSE2	3702.Q5BPF3	0	0	0	0	0.072	0	0	0.784	0.790
SCRM	SPCH	3702.Q9LSE2	3702.Q700C7	0	0	0	0	0.078	0.230	0	0.998	0.998
SCRM	EPF2	3702.Q9LSE2	3702.Q8LC53	0	0	0	0	0.071	0	0	0.802	0.808
SCRM	EPF1	3702.Q9LSE2	3702.Q8S8I4	0	0	0	0	0.063	0	0	0.824	0.828
SCRM	YDA	3702.Q9LSE2	3702.Q9CAD5	0	0	0	0	0	0	0	0.784	0.784
SCRM	SCRM2	3702.Q9LSE2	3702.Q9LPW3	0	0	0	0.956	0.157	0.225	0	0.638	0.742
SCRM	EPFL9	3702.Q9LSE2	3702.Q9SV72	0	0	0	0	0.075	0	0	0.795	0.802
SCRM2	SBT1.2	3702.Q9LPW3	3702.O64495	0	0	0	0	0.106	0	0	0.785	0.799
SCRM2	MPK3	3702.Q9LPW3	3702.Q39023	0	0	0	0	0	0.243	0	0.740	0.794
SCRM2	MPK6	3702.Q9LPW3	3702.Q39026	0	0	0	0	0	0.292	0	0.431	0.579
SCRM2	BASL	3702.Q9LPW3	3702.Q5BPF3	0	0	0	0	0.098	0	0	0.793	0.805
SCRM2	SPCH	3702.Q9LPW3	3702.Q700C7	0	0	0	0	0.120	0.230	0	0.998	0.998
SCRM2	EPF2	3702.Q9LPW3	3702.Q8LC53	0	0	0	0	0.107	0	0	0.899	0.905
SCRM2	EPF1	3702.Q9LPW3	3702.Q8S8I4	0	0	0	0	0.089	0	0	0.899	0.904
SCRM2	YDA	3702.Q9LPW3	3702.Q9CAD5	0	0	0	0	0	0	0	0.795	0.795
SCRM2	SCRM	3702.Q9LPW3	3702.Q9LSE2	0	0	0	0.956	0.157	0.225	0	0.638	0.742
SCRM2	EPFL9	3702.Q9LPW3	3702.Q9SV72	0	0	0	0	0.144	0	0	0.880	0.892
SPCH	SBT1.2	3702.Q700C7	3702.O64495	0	0	0	0	0.211	0	0	0.892	0.911
SPCH	MPK3	3702.Q700C7	3702.Q39023	0	0	0	0	0	0	0.900	0.796	0.978
SPCH	MPK6	3702.Q700C7	3702.Q39026	0	0	0	0	0	0	0.900	0.785	0.977
SPCH	BASL	3702.Q700C7	3702.Q5BPF3	0	0	0	0	0.401	0	0	0.929	0.955
SPCH	YDA	3702.Q700C7	3702.Q9CAD5	0	0	0	0	0	0	0	0.926	0.926
SPCH	EPFL9	3702.Q700C7	3702.Q9SV72	0	0	0	0	0.098	0	0	0.926	0.930
SPCH	EPF1	3702.Q700C7	3702.Q8S8I4	0	0	0	0	0.141	0	0	0.928	0.935
SPCH	EPF2	3702.Q700C7	3702.Q8LC53	0	0	0	0	0.430	0	0	0.926	0.956
SPCH	SCRM2	3702.Q700C7	3702.Q9LPW3	0	0	0	0	0.120	0.230	0	0.998	0.998
SPCH	SCRM	3702.Q700C7	3702.Q9LSE2	0	0	0	0	0.078	0.230	0	0.998	0.998
YDA	SBT1.2	3702.Q9CAD5	3702.O64495	0	0	0	0	0	0	0	0.825	0.825
YDA	MPK3	3702.Q9CAD5	3702.Q39023	0	0	0.138	0.665	0	0.184	0	0.339	0.494
YDA	MPK6	3702.Q9CAD5	3702.Q39026	0	0	0.157	0.647	0	0.184	0	0.350	0.514
YDA	BASL	3702.Q9CAD5	3702.Q5BPF3	0	0	0	0	0	0	0	0.935	0.935
YDA	SPCH	3702.Q9CAD5	3702.Q700C7	0	0	0	0	0	0	0	0.926	0.926
YDA	EPF2	3702.Q9CAD5	3702.Q8LC53	0	0	0	0	0	0	0	0.822	0.822
YDA	EPF1	3702.Q9CAD5	3702.Q8S8I4	0	0	0	0	0	0	0	0.892	0.892
YDA	SCRM	3702.Q9CAD5	3702.Q9LSE2	0	0	0	0	0	0	0	0.784	0.784
YDA	EPFL9	3702.Q9CAD5	3702.Q9SV72	0	0	0	0	0	0	0	0.794	0.794
YDA	SCRM2	3702.Q9CAD5	3702.Q9LPW3	0	0	0	0	0	0	0	0.795	0.795
